function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_cfgetispeed	c:@F@p101_cfgetispeed	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	cfgetispeed	c:@F@cfgetispeed
p101_cfgetospeed	c:@F@p101_cfgetospeed	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	cfgetospeed	c:@F@cfgetospeed
p101_cfmakeraw	c:@F@p101_cfmakeraw	common-Unix	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_unix/src/termios.c	libraries/lib_unix/include/p101_unix/p101_termios.h	yes	yes	yes	cfmakeraw	c:@F@cfmakeraw
p101_cfsetispeed	c:@F@p101_cfsetispeed	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	cfsetispeed	c:@F@cfsetispeed
p101_cfsetospeed	c:@F@p101_cfsetospeed	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	cfsetospeed	c:@F@cfsetospeed
p101_cfsetspeed	c:@F@p101_cfsetspeed	common-Unix	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_unix/src/termios.c	libraries/lib_unix/include/p101_unix/p101_termios.h	yes	yes	yes	cfsetspeed	c:@F@cfsetspeed
p101_grantpt	c:@F@p101_grantpt	XSI	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	grantpt	c:@F@grantpt
p101_isatty	c:@F@p101_isatty	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	isatty	c:@F@isatty
p101_posix_openpt	c:@F@p101_posix_openpt	XSI	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	posix_openpt	c:@F@posix_openpt
p101_ptsname	c:@F@p101_ptsname	XSI	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	ptsname	c:@F@ptsname
p101_tcdrain	c:@F@p101_tcdrain	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcdrain	c:@F@tcdrain
p101_tcflow	c:@F@p101_tcflow	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcflow	c:@F@tcflow
p101_tcflush	c:@F@p101_tcflush	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcflush	c:@F@tcflush
p101_tcgetattr	c:@F@p101_tcgetattr	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcgetattr	c:@F@tcgetattr
p101_tcgetpgrp	c:@F@p101_tcgetpgrp	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	tcgetpgrp	c:@F@tcgetpgrp
p101_tcgetsid	c:@F@p101_tcgetsid	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcgetsid	c:@F@tcgetsid
p101_tcsendbreak	c:@F@p101_tcsendbreak	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcsendbreak	c:@F@tcsendbreak
p101_tcsetattr	c:@F@p101_tcsetattr	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/termios.c	libraries/lib_posix/include/p101_posix/p101_termios.h	yes	yes	yes	tcsetattr	c:@F@tcsetattr
p101_tcsetpgrp	c:@F@p101_tcsetpgrp	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	tcsetpgrp	c:@F@tcsetpgrp
p101_ttyname_r	c:@F@p101_ttyname_r	POSIX	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	ttyname_r	c:@F@ttyname_r
p101_unlockpt	c:@F@p101_unlockpt	XSI	libraries/lib_terminal/src/terminal.c	libraries/lib_terminal/include/p101_terminal/terminal.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	unlockpt	c:@F@unlockpt
